i,j,val,ci,cj
98,54,7.60e-09,0,0
98,85,8.30e-08,0,0
98,162,4.14e-05,0,1
99,18,5.21e-08,0,0
99,33,5.07e-06,0,0
99,43,4.99e-03,0,0
100,102,4.77e-03,0,0
100,130,2.25e-04,0,1
101,38,3.22e-04,0,0
101,125,7.36e-06,0,1
101,167,4.67e-03,0,1
102,19,4.02e-03,0,0
102,146,9.79e-06,0,1
102,158,9.66e-04,0,1
102,180,4.10e-08,0,1
103,22,3.42e-03,0,0
103,44,1.07e-03,0,0
103,154,5.14e-04,0,1
104,19,2.43e-07,0,0
104,30,1.90e-05,0,0
104,65,1.99e-09,0,0
104,146,4.98e-03,0,1
104,176,1.84e-10,0,1
105,9,2.78e-08,0,0
105,25,5.00e-03,0,0
106,2,3.91e-09,0,0
106,69,5.00e-03,0,0
107,65,3.43e-03,0,0
107,98,5.04e-10,0,0
107,146,1.36e-05,0,1
107,176,1.56e-03,0,1
108,122,3.80e-03,0,1
108,161,1.20e-03,0,1
109,19,1.58e-05,0,0
109,30,4.98e-03,0,0
109,69,5.82e-09,0,0
109,146,3.40e-10,0,1
110,120,4.81e-03,0,1
110,160,1.85e-04,0,1
111,8,1.34e-04,0,0
111,13,1.34e-04,0,0
111,40,4.46e-03,0,0
111,148,2.75e-04,0,1
112,0,1.46e-10,0,0
112,11,3.80e-03,0,0
112,18,3.59e-04,0,0
112,96,4.13e-05,0,0
112,112,6.98e-07,0,0
112,186,7.98e-04,0,1
113,104,4.62e-03,0,0
113,107,1.64e-06,0,0
113,109,3.81e-04,0,0
113,189,8.11e-07,0,1
114,1,1.29e-03,0,0
114,147,3.71e-03,0,1
114,194,7.29e-07,0,1
115,5,2.97e-04,1,0
115,10,3.34e-03,1,0
115,67,1.11e-07,1,0
115,183,1.37e-03,1,1
116,21,1.34e-07,1,0
116,92,3.72e-05,1,0
116,111,3.88e-10,1,0
116,151,9.91e-04,1,1
116,173,2.05e-05,1,1
116,177,3.95e-03,1,1
117,12,3.84e-03,1,0
117,51,7.82e-04,1,0
117,193,3.82e-04,1,1
118,28,2.42e-07,1,0
118,77,4.92e-03,1,0
118,118,8.64e-06,1,1
118,121,6.90e-05,1,1
119,80,5.00e-03,1,0
120,86,4.51e-03,1,0
120,87,4.89e-04,1,0
121,47,2.33e-03,1,0
121,77,6.17e-07,1,0
121,121,5.82e-08,1,1
121,190,2.67e-03,1,1
122,126,2.99e-03,1,1
122,165,2.01e-03,1,1
122,172,4.81e-10,1,1
123,9,9.39e-06,1,0
123,24,1.64e-04,1,0
123,31,2.00e-03,1,0
123,114,2.83e-03,1,0
124,7,4.01e-03,1,0
124,32,4.72e-04,1,0
124,138,5.15e-04,1,1
125,55,2.13e-03,1,0
125,135,3.46e-08,1,1
125,155,2.53e-03,1,1
125,184,3.46e-04,1,1
126,72,2.33e-03,1,0
126,96,3.91e-07,1,0
126,133,2.67e-03,1,1
127,16,8.13e-05,1,0
127,44,7.18e-06,1,0
127,178,4.91e-03,1,1
128,12,9.95e-04,1,0
128,52,3.66e-05,1,0
128,193,3.97e-03,1,1
129,55,3.85e-04,1,0
129,135,4.62e-03,1,1
129,155,1.07e-07,1,1
129,182,6.16e-09,1,1
130,19,9.63e-04,1,0
130,146,4.44e-08,1,1
130,158,4.04e-03,1,1
130,180,7.42e-08,1,1
130,184,3.97e-09,1,1
131,14,3.07e-09,1,0
131,105,1.71e-03,1,0
131,162,3.84e-07,1,1
131,197,3.29e-03,1,1
132,5,1.49e-05,1,0
132,10,1.17e-03,1,0
132,67,2.03e-04,1,0
132,183,3.61e-03,1,1
132,197,1.36e-09,1,1
133,0,2.52e-03,1,0
133,11,9.23e-09,1,0
133,96,9.72e-04,1,0
133,99,1.48e-03,1,0
133,141,2.40e-05,1,1
134,135,3.85e-04,1,1
134,182,4.61e-03,1,1
135,53,1.09e-05,1,0
135,131,4.99e-03,1,1
135,168,8.88e-07,1,1
135,192,1.01e-07,1,1
136,181,4.97e-03,1,1
136,198,2.92e-05,1,1
137,20,1.96e-10,1,0
137,68,1.65e-04,1,0
137,79,4.83e-03,1,0
138,38,3.51e-04,1,0
138,125,2.60e-04,1,1
138,129,3.96e-03,1,1
138,134,4.27e-04,1,1
139,12,1.70e-04,1,0
139,51,4.22e-03,1,0
139,93,2.53e-07,1,0
139,193,6.12e-04,1,1
140,24,4.76e-03,1,0
140,35,7.42e-05,1,0
140,114,1.65e-04,1,0
141,18,1.45e-06,1,0
141,33,4.62e-03,1,0
141,43,2.59e-06,1,0
141,50,2.85e-04,1,0
141,145,9.49e-05,1,1
142,52,4.94e-07,1,0
142,174,5.00e-03,1,1
143,1,4.73e-07,1,0
143,82,1.19e-03,1,0
143,116,3.33e-03,1,1
143,147,4.84e-04,1,1
144,55,4.10e-10,1,0
144,155,1.27e-09,1,1
144,171,3.82e-04,1,1
144,184,4.62e-03,1,1
145,16,6.85e-05,1,0
145,21,4.81e-07,1,0
145,103,3.94e-03,1,0
145,111,8.39e-06,1,0
145,127,9.59e-04,1,1
145,173,2.46e-05,1,1
146,76,5.00e-03,1,0
147,21,1.26e-04,1,0
147,75,1.47e-10,1,0
147,91,2.55e-10,1,0
147,92,4.79e-03,1,0
147,173,1.32e-05,1,1
147,177,4.78e-05,1,1
147,198,2.64e-05,1,1
148,70,4.29e-04,1,0
148,129,1.65e-09,1,1
148,134,4.57e-03,1,1
149,102,2.18e-04,1,0
149,130,4.45e-03,1,1
149,167,3.28e-04,1,1
150,84,4.67e-03,1,0
150,137,3.27e-04,1,1
151,8,3.03e-06,1,0
151,13,4.58e-03,1,0
151,40,4.05e-04,1,0
151,60,8.86e-06,1,0
151,148,6.26e-10,1,1
152,25,1.92e-07,1,0
152,72,1.16e-03,1,0
152,95,3.18e-03,1,0
152,197,6.64e-04,1,1
153,24,7.43e-05,1,0
153,35,4.93e-03,1,0
153,150,3.92e-10,1,1
154,28,5.27e-09,1,0
154,62,3.72e-03,1,0
154,70,8.53e-04,1,0
154,121,5.25e-06,1,1
154,190,4.26e-04,1,1
155,53,4.88e-03,1,0
155,81,5.00e-05,1,0
155,131,1.48e-09,1,1
155,132,2.48e-09,1,1
155,168,2.00e-05,1,1
155,192,4.54e-05,1,1
156,36,4.76e-03,1,0
156,63,7.64e-10,1,0
156,78,2.28e-04,1,0
156,142,3.56e-10,1,1
156,151,7.59e-06,1,1
157,29,1.56e-03,1,0
157,75,1.90e-08,1,0
157,82,2.16e-03,1,0
157,91,9.64e-05,1,0
157,116,1.18e-03,1,1
158,115,1.62e-03,1,1
158,132,3.38e-03,1,1
159,68,9.21e-07,1,0
159,79,3.67e-10,1,0
159,164,5.00e-03,1,1
159,198,2.41e-10,1,1
160,87,4.50e-03,1,0
160,156,4.97e-04,1,1
161,172,5.00e-03,1,1
162,27,4.85e-10,1,0
162,123,2.75e-10,1,1
162,140,1.99e-03,1,1
162,153,3.01e-03,1,1
